states,year,Life Expectancy,Crime Rate Share,safe,state code,GDP,type,value
Uttar Pradesh,2016,65,9.5,no,UP,"12,48,374",Death Rate,6.9
Uttarakhand,2016,72,0.4,yes,UK,"1,95,125",Death Rate,6.7
West Bengal,2016,71,5.9,no,WB,"8,72,527",Death Rate,5.8
Andaman & Nicobar Island,2016,,,,,,Birth Rate,11.7
Andhra Pradesh,2016,,,,,,Birth Rate,16.4
Arunanchal Pradesh,2016,,,,,,Birth Rate,18.9
Assam,2016,,,,,,Birth Rate,21.7
Bihar,2016,,,,,,Birth Rate,26.8
Chandigarh,2016,,,,,,Birth Rate,13.9
Chhattisgarh,2016,,,,,,Birth Rate,22.8
NCT of Delhi,2016,,,,,,Birth Rate,15.5
Goa,2016,,,,,,Birth Rate,12.9
Gujarat,2016,,,,,,Birth Rate,20.1
Haryana,2016,,,,,,Birth Rate,20.7
Himachal Pradesh,2016,,,,,,Birth Rate,16
Jammu & Kashmir,2016,,,,,,Birth Rate,15.7
Jharkhand,2016,,,,,,Birth Rate,22.9
Karnataka,2016,,,,,,Birth Rate,17.6
Kerala,2016,,,,,,Birth Rate,14.3
Madhya Pradesh,2016,,,,,,Birth Rate,25.1
Maharashtra,2016,,,,,,Birth Rate,15.9
Manipur,2016,,,,,,Birth Rate,12.9
Meghalaya,2016,,,,,,Birth Rate,23.7
Mizoram,2016,,,,,,Birth Rate,15.5
Nagaland,2016,,,,,,Birth Rate,14
Odisha,2016,,,,,,Birth Rate,18.6
Puducherry,2016,,,,,,Birth Rate,13.9
Punjab,2016,,,,,,Birth Rate,14.9
Rajasthan,2016,,,,,,Birth Rate,24.3
Sikkim,2016,,,,,,Birth Rate,16.6
Tamil Nadu,2016,,,,,,Birth Rate,15
Telangana,2016,,,,,,Birth Rate,17.5
Tripura,2016,,,,,,Birth Rate,13.7
Uttar Pradesh,2016,,,,,,Birth Rate,26.2
Uttarakhand,2016,,,,,,Birth Rate,16.6
West Bengal,2016,,,,,,Birth Rate,15.4
Andaman & Nicobar Island,2017,75,0.1,yes,AN,"7,871",Death Rate,5.1
Andhra Pradesh,2017,70,3,yes,AD,"8,09,547",Death Rate,7.2
Arunanchal Pradesh,2017,74,0.1,yes,AR,"22,045",Death Rate,6.1
Assam,2017,66,2.2,yes,AS,"2,88,494",Death Rate,6.5
Bihar,2017,69,4.7,moderate,BR,"4,84,740",Death Rate,5.8
Chandigarh,2017,77,0.1,yes,CH,"38,806",Death Rate,4.5
Chhattisgarh,2017,65,1.8,yes,CG,"2,84,194",Death Rate,7.5
NCT of Delhi,2017,75,4.9,moderate,DL,"6,90,098",Death Rate,3.7
Goa,2017,79,0.1,yes,GA,"70,493",Death Rate,6.2
Gujarat,2017,70,6.7,no,GJ,"13,14,680",Death Rate,6.2
Haryana,2017,70,4.5,moderate,HR,"6,26,054",Death Rate,5.8
Himachal Pradesh,2017,73,0.4,yes,HP,"1,40,613",Death Rate,6.6
Jammu & Kashmir,2017,74,0.5,yes,JK,"1,38,488",Death Rate,4.8
Jharkhand,2017,69,1.1,yes,JH,"2,76,243",Death Rate,5.5
Karnataka,2017,69,3.7,moderate,KA,"13,50,257",Death Rate,6.5
Kerala,2017,75,13.1,no,KL,"7,01,577",Death Rate,6.8
Madhya Pradesh,2017,66,7.6,no,MP,"7,28,242",Death Rate,6.8
Maharashtra,2017,73,9.3,no,MH,"24,11,600",Death Rate,5.7
Manipur,2017,80,0.1,yes,MN,"23,968",Death Rate,5.3
Meghalaya,2017,79,0.1,yes,ML,"30,790",Death Rate,6.1
Mizoram,2017,83,0.1,yes,MZ,"19,457",Death Rate,4
Nagaland,2017,84,0,yes,NL,"24,281",Death Rate,3.6
Odisha,2017,68,2.1,yes,OD,"4,36,374",Death Rate,7.4
Puducherry,2017,73,0.1,yes,PY,"32,962",Death Rate,7.3
Punjab,2017,72,1.4,yes,PB,"4,79,141",Death Rate,7
Rajasthan,2017,69,4.9,moderate,RJ,"8,35,558",Death Rate,6
Sikkim,2017,81,0,yes,SK,"23,495",Death Rate,4.5
Tamil Nadu,2017,75,8.4,no,TN,"14,61,841",Death Rate,6.7
Telangana,2017,72,2.7,yes,TS,"7,53,811",Death Rate,6.6
Tripura,2017,82,0.1,yes,TR,"46,133",Death Rate,5.2
Uttar Pradesh,2017,65,12,no,UP,"13,76,324",Death Rate,6.7
Uttarakhand,2017,71,0.6,yes,UK,"2,22,836",Death Rate,6.7
West Bengal,2017,71,3.9,moderate,WB,"9,99,585",Death Rate,5.8
Andaman & Nicobar Island,2017,,,,,,Birth Rate,11.4
Andhra Pradesh,2017,,,,,,Birth Rate,16.2
Arunanchal Pradesh,2017,,,,,,Birth Rate,18.3
Assam,2017,,,,,,Birth Rate,21.2
Bihar,2017,,,,,,Birth Rate,26.4
Chandigarh,2017,,,,,,Birth Rate,13.5
Chhattisgarh,2017,,,,,,Birth Rate,22.7
NCT of Delhi,2017,,,,,,Birth Rate,15.2
Goa,2017,,,,,,Birth Rate,12.5
Gujarat,2017,,,,,,Birth Rate,19.9
Haryana,2017,,,,,,Birth Rate,20.5
Himachal Pradesh,2017,,,,,,Birth Rate,15.8
Jammu & Kashmir,2017,,,,,,Birth Rate,15.4
Jharkhand,2017,,,,,,Birth Rate,22.7
Karnataka,2017,,,,,,Birth Rate,17.4
Kerala,2017,,,,,,Birth Rate,14.2
Madhya Pradesh,2017,,,,,,Birth Rate,24.8
Maharashtra,2017,,,,,,Birth Rate,15.7
Manipur,2017,,,,,,Birth Rate,14.6
Meghalaya,2017,,,,,,Birth Rate,22.8
Mizoram,2017,,,,,,Birth Rate,15
Nagaland,2017,,,,,,Birth Rate,13.5
Odisha,2017,,,,,,Birth Rate,18.3
Puducherry,2017,,,,,,Birth Rate,13.2
Punjab,2017,,,,,,Birth Rate,14.9
Rajasthan,2017,,,,,,Birth Rate,24.1
Sikkim,2017,,,,,,Birth Rate,16.4
Tamil Nadu,2017,,,,,,Birth Rate,14.9
Telangana,2017,,,,,,Birth Rate,17.2
Tripura,2017,,,,,,Birth Rate,13
Uttar Pradesh,2017,,,,,,Birth Rate,25.9
Uttarakhand,2017,,,,,,Birth Rate,17.3
West Bengal,2017,,,,,,Birth Rate,15.2
Andaman & Nicobar Island,2018,84,0.1,yes,AN,"9,00,318",Death Rate,5.3
Andhra Pradesh,2018,70,2.9,yes,AD,"9,33,402",Death Rate,6.7
Arunanchal Pradesh,2018,78,0.1,yes,AR,"25,268",Death Rate,6
Assam,2018,66,2.6,yes,AS,"3,32,939",Death Rate,6.4
Bihar,2018,69,5.2,no,BR,"5,57,490",Death Rate,5.8
Chandigarh,2018,77,0.1,yes,CH,"39,825",Death Rate,4.3
Chhattisgarh,2018,68,1.9,yes,CG,"3,11,660",Death Rate,8
NCT of Delhi,2018,75,5.2,no,DL,"7,79,652",Death Rate,3.3
Goa,2018,80,0.1,yes,GA,"77,172",Death Rate,5.9
Gujarat,2018,72,7.7,no,GJ,"14,99,013",Death Rate,5.9
Haryana,2018,70,3.8,moderate,HR,"7,07,126",Death Rate,5.9
Himachal Pradesh,2018,73,0.4,yes,HP,"1,53,181",Death Rate,6.9
Jammu & Kashmir,2018,74,0.5,yes,JK,"1,60,464",Death Rate,4.9
Jharkhand,2018,75,1.1,yes,JH,"3,07,581",Death Rate,5.4
Karnataka,2018,69,3.2,yes,KA,"15,35,224",Death Rate,6.3
Kerala,2018,75,10.1,no,KL,"7,81,653",Death Rate,6.9
Madhya Pradesh,2018,65,8,no,MP,"26,56,551",Death Rate,6.7
Maharashtra,2018,72,10.2,no,MH,"25,79,627",Death Rate,5.5
Manipur,2018,79,0.1,yes,MN,"27,869",Death Rate,4.5
Meghalaya,2018,81,0.1,yes,ML,"32,175",Death Rate,5.8
Mizoram,2018,80,0,yes,MZ,"21,878",Death Rate,4.1
Nagaland,2018,78,0,yes,NL,"26,527",Death Rate,3.5
Odisha,2018,79,2.1,yes,OD,"4,85,376",Death Rate,7.3
Puducherry,2018,70,0.1,yes,PY,"36,656",Death Rate,6.9
Punjab,2018,69,1.4,yes,PB,"5,21,861",Death Rate,6.6
Rajasthan,2018,68,4.9,moderate,RJ,"9,29,124",Death Rate,5.9
Sikkim,2018,71,0,yes,SK,"26,786",Death Rate,4.5
Tamil Nadu,2018,69,9.8,no,TN,"16,64,159",Death Rate,6.5
Telangana,2018,72,2.5,yes,TS,"8,65,688",Death Rate,6.3
Tripura,2018,73,0.1,yes,TR,"8,60,077",Death Rate,5.5
Uttar Pradesh,2018,64,11.5,no,UP,"15,42,432",Death Rate,6.6
Uttarakhand,2018,74,0.7,yes,UK,"2,45,895",Death Rate,6.2
West Bengal,2018,71,3.7,moderate,WB,"11,77,586",Death Rate,5.6
Andaman & Nicobar Island,2018,,,,,,Birth Rate,11.2
Andhra Pradesh,2018,,,,,,Birth Rate,16
Arunanchal Pradesh,2018,,,,,,Birth Rate,17.9
Assam,2018,,,,,,Birth Rate,21.1
Bihar,2018,,,,,,Birth Rate,26.2
Chandigarh,2018,,,,,,Birth Rate,13.3
Chhattisgarh,2018,,,,,,Birth Rate,22.5
NCT of Delhi,2018,,,,,,Birth Rate,14.7
Goa,2018,,,,,,Birth Rate,12.4
Gujarat,2018,,,,,,Birth Rate,19.7
Haryana,2018,,,,,,Birth Rate,20.3
Himachal Pradesh,2018,,,,,,Birth Rate,15.7
Jammu & Kashmir,2018,,,,,,Birth Rate,15.4
Jharkhand,2018,,,,,,Birth Rate,22.6
Karnataka,2018,,,,,,Birth Rate,17.2
Kerala,2018,,,,,,Birth Rate,13.9
Madhya Pradesh,2018,,,,,,Birth Rate,24.6
Maharashtra,2018,,,,,,Birth Rate,15.6
Manipur,2018,,,,,,Birth Rate,14.3
Meghalaya,2018,,,,,,Birth Rate,22.1
Mizoram,2018,,,,,,Birth Rate,14.8
Nagaland,2018,,,,,,Birth Rate,12.9
Odisha,2018,,,,,,Birth Rate,18.2
Puducherry,2018,,,,,,Birth Rate,13.7
Punjab,2018,,,,,,Birth Rate,14.8
Rajasthan,2018,,,,,,Birth Rate,24
Sikkim,2018,,,,,,Birth Rate,16.3
Tamil Nadu,2018,,,,,,Birth Rate,14.7
Telangana,2018,,,,,,Birth Rate,16.9
Tripura,2018,,,,,,Birth Rate,13
Uttar Pradesh,2018,,,,,,Birth Rate,25.6
Uttarakhand,2018,,,,,,Birth Rate,16.7
West Bengal,2018,,,,,,Birth Rate,15
Andaman & Nicobar Island,2019,79,0.1,yes,AN,"9,719",Death Rate,5.3
Andhra Pradesh,2019,69,2.8,yes,AD,"10,80,657",Death Rate,6.4
Arunanchal Pradesh,2019,75,0.1,yes,AR,"28,046",Death Rate,5.8
Assam,2019,64,2.6,yes,AS,"3,74,096",Death Rate,6.3
Bihar,2019,68,5.2,no,BR,"5,72,827",Death Rate,5.5
Chandigarh,2019,74,0.1,yes,CH,"43,674",Death Rate,4
Chhattisgarh,2019,65,1.9,yes,CG,"3,63,900",Death Rate,7.3
NCT of Delhi,2019,70,6.1,no,DL,"8,30,872",Death Rate,3.2
Goa,2019,79,0.1,yes,GA,"74,828",Death Rate,5.9
Gujarat,2019,69,8.4,no,GJ,"17,01,495",Death Rate,5.6
Haryana,2019,69,3.2,yes,HR,"7,84,910",Death Rate,5.9
Himachal Pradesh,2019,72,0.4,yes,HP,"1,68,972",Death Rate,6.9
Jammu & Kashmir,2019,73,0.5,yes,JK,"1,70,382",Death Rate,4.6
Jharkhand,2019,67,1.2,yes,JH,"3,29,726",Death Rate,5.3
Karnataka,2019,69,3.2,yes,KA,"15,88,303",Death Rate,6.2
Kerala,2019,75,8.8,no,KL,"8,75,514",Death Rate,7.1
Madhya Pradesh,2019,64,7.7,no,MP,"9,06,672",Death Rate,6.6
Maharashtra,2019,72,9.9,no,MH,"29,79,556",Death Rate,5.4
Manipur,2019,80,0.1,yes,MN,"31,790",Death Rate,4.3
Meghalaya,2019,81,0.1,yes,ML,"34,715",Death Rate,5.6
Mizoram,2019,79,0.1,yes,MZ,"25,148",Death Rate,4
Nagaland,2019,80,0,yes,NL,"29,535",Death Rate,3.5
Odisha,2019,66,2.4,yes,OD,"5,408",Death Rate,7.1
Puducherry,2019,79,0.1,yes,PY,"5,77,829",Death Rate,6.8
Punjab,2019,72,1.4,yes,PB,"5,39,686",Death Rate,6.6
Rajasthan,2019,68,5.9,no,RJ,"9,98,999",Death Rate,5.7
Sikkim,2019,79,0,yes,SK,"30,808",Death Rate,4.2
Tamil Nadu,2019,68,8.8,no,TN,"18,54,239",Death Rate,6.1
Telangana,2019,71,2.5,yes,TS,"9,69,604",Death Rate,6.1
Tripura,2019,75,0.1,yes,TR,"9,57,207",Death Rate,5.5
Uttar Pradesh,2019,64,11.5,no,UP,"17,91,000",Death Rate,6.5
Uttarakhand,2019,72,0.5,yes,UK,"2,63,233",Death Rate,6
West Bengal,2019,70,3.6,moderate,WB,"13,14,529",Death Rate,5.3
Andaman & Nicobar Island,2019,,,,,,Birth Rate,16.3
Andhra Pradesh,2019,,,,,,Birth Rate,18.3
Arunanchal Pradesh,2019,,,,,,Birth Rate,21.1
Assam,2019,,,,,,Birth Rate,23.6
Bihar,2019,,,,,,Birth Rate,28.5
Chandigarh,2019,,,,,,Birth Rate,15.9
Chhattisgarh,2019,,,,,,Birth Rate,25.7
NCT of Delhi,2019,,,,,,Birth Rate,18.1
Goa,2019,,,,,,Birth Rate,13.5
Gujarat,2019,,,,,,Birth Rate,22.3
Haryana,2019,,,,,,Birth Rate,22.7
Himachal Pradesh,2019,,,,,,Birth Rate,17.2
Jammu & Kashmir,2019,,,,,,Birth Rate,18.6
Jharkhand,2019,,,,,,Birth Rate,25.6
Karnataka,2019,,,,,,Birth Rate,19.5
Kerala,2019,,,,,,Birth Rate,14.7
Madhya Pradesh,2019,,,,,,Birth Rate,27.7
Maharashtra,2019,,,,,,Birth Rate,17.6
Manipur,2019,,,,,,Birth Rate,15.4
Meghalaya,2019,,,,,,Birth Rate,24.4
Mizoram,2019,,,,,,Birth Rate,17.6
Nagaland,2019,,,,,,Birth Rate,17.2
Odisha,2019,,,,,,Birth Rate,21
Puducherry,2019,,,,,,Birth Rate,16.5
Punjab,2019,,,,,,Birth Rate,17
Rajasthan,2019,,,,,,Birth Rate,27.2
Sikkim,2019,,,,,,Birth Rate,18.1
Tamil Nadu,2019,,,,,,Birth Rate,16.3
Telangana,2019,,,,,,Birth Rate,18.2
Tripura,2019,,,,,,Birth Rate,14.8
Uttar Pradesh,2019,,,,,,Birth Rate,28.7
Uttarakhand,2019,,,,,,Birth Rate,19.7
West Bengal,2019,,,,,,Birth Rate,17.2
